title,companyname,location,salary,summary
"Startup seeks Business Development Manager or Exec with sky-...",Staple,Singapore,"$3,500 - $5,500 a month","Our technology harnesses machine learning, computer vision and OCR to standardise data and deliver data insights to our users..
Be business fluent in English."
"Data Scientist","KKT TECHNOLOGY PTE. LTD.",Queenstown,"$3,700 - $5,500 a month","As a junior data scientist you will be involved in all aspects of the data driven decision making process -data processing, model conceptualization, innovation,…"
"Data Scientist","NextWave Partners",Singapore,None,"Work on core data science projects.
End to end data science solutions and model creation from data extraction, algorithm selection, to building and testing."
"AI Chief Data Scientist","17MEDIA SG PTE. LTD.",Singapore,"$10,000 - $20,000 a month","We’re seeking an experienced data scientist to deliver that insight to us on a daily basis.
Analyze data for trends and patterns, and Interpret data with a…"
"Junior Scientist","PRESTIGE BIOPHARMA PTE. LTD.",Singapore,"$3,000 - $4,000 a month","Assist in management and supervision of day to day laboratory operations and personnel including lab maintenance and monitoring, and study data recording,…"
"Data Scientist","POINT72 ASIA (SINGAPORE) PTE. LTD.",Singapore,"$7,000 - $13,000 a month","2+ years of experience as a Data Scientist, quantitative researcher or in a similar role.
Identification of new data sets.
Programming skills in Python or C++."
"Data Scientist","Comtel Solutions Pte Ltd",Singapore,None,"Interpret data and analyses data with SQL, R, Octave, Python.
Develop data model that are meaningful and impactful on a critical market data application."
"Data Engineer / Data Analyst","GMP RECRUITMENT SERVICES S PTE LTD",Singapore,"$7,000 - $8,000 a month","Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader."
"Speech / Voice Scientist (Data Science)",Sentient.io,"Buona Vista","$7,500 - $11,000 a month","Source for different types of available data sets and combine them with company available data to create commercially valuable IP."
"Data Scientist","JobStudio Pte Ltd",Singapore,"$5,500 - $9,500 a month","Our client – an Internet company is searching for Data Scientist As a Data Scientist, you will apply your strategic and analytical skills to major company…"
"Data Scientist - Singapore",Accenture,Singapore,None,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise…"
"Data Scientist",Dyson,Singapore,None,"You will also team up with Data Engineers to get advice and support on accessing data.
Experience in data cleaning and blending multiple data sources …"
"Data Scientist","Hewlett Packard Enterprise",Singapore,None,"We have an exciting opportunity for a Data Scientist to join our team and make a difference!
HPE APJ Innovation Center Singapore focuses on providing customers…"
